,명사,빈도
1131,경안,1
1132,까비,1
1133,문지기,1
1134,살라,1
1135,건가,19
1136,본케,1
1137,부케,3
1138,슈챌문턱,1
1139,이길런,1
1140,질껀,1
1141,번지,2
1142,고찰,1
1143,이글,4
1144,궁금증,1
1145,이나,12
1146,필연,1
1147,유추,1
1148,수준,26
1149,논리,39
1150,실험,7
1151,훈코,6
1152,보유,6
1153,막판,5
1154,상태,12
1155,하니,5
1156,만난,1
1157,질,7
1158,지고,13
1159,나니,1
1160,엔진오일,1
1161,걸,66
1162,교체,4
1163,차량,1
1164,식,20
1165,경향,1
1166,소리,43
1167,전의,1
1168,쯤,4
1169,격전,7
1170,몇번,9
1171,심리전,3
1172,커버,4
1173,불만,15
1174,다한,2
1175,메타,13
1176,선,12
1177,호도,1
1178,센스,1
1179,개개인,5
1180,자리,11
1181,기기,9
1182,순,6
1183,편법,4
1184,정리,9
1185,자고,4
1186,직접,14
1187,당황,6
1188,움,8
1189,안당,1
1190,똥손,3
1191,불운,1
1192,평점,4
1193,정모,2
1194,이용자,4
1195,토츠,6
1196,거품,2
1197,잔뜩,1
1198,젠,14
1199,린지,5
1200,리리,5
1201,플레이,87
1202,하루,19
1203,창,13
1204,컬러,21
1205,프랑스,11
1206,잉글,3
1207,레알,12
1208,기준,20
1209,프,7
1210,뮌,4
1211,보임,11
1212,순위,25
1213,이상은,7
1214,성능,21
1215,아스널,1
1216,체굴,1
1217,졸업,1
1218,겸,1
1219,수직,5
1220,상승,4
1221,슈챌들,1
1222,개뚜,1
1223,운빨,1
1224,슈챌찍먹,1
1225,전방,1
1226,컬,6
1227,버프받,1
1228,가망,1
1229,은애,9
1230,목각,1
1231,인형,2
1232,레이턴,2
1233,병신,32
1234,강화,18
1235,제물,1
1236,대박,1
1237,보신,4
1238,도민,2
1239,호피,2
1240,닉,10
1241,닉넴,3
1242,좐필빠,1
1243,세팅,1
1244,랄,2
1245,영상,34
1246,추락,1
1247,옴,3
1248,커트,1
1249,밖,10
1250,점질때,1
1251,직원,2
1252,뇌,2
1253,구석,6
1254,형,4
1255,공중,4
1256,분해,1
1257,비명,1
1258,횡사,1
1259,내내,5
1260,불행,1
1261,길,9
1262,걷기,1
1263,오전,2
1264,급여,24
1265,전판,3
1266,판도,3
1267,줌,6
1268,갈라,14
1269,추세,1
1270,누누,1
1271,인지,9
1272,저건,1
1273,절반,5
1274,대기,15
1275,만날,12
1276,법,7
1277,화가,5
1278,자연,4
1279,난이도,4
1280,이상인,4
1281,소화,1
1282,지난주,2
1283,주일,3
1284,첫,12
1285,뭔지,1
1286,두번째,2
1287,어뷰징,28
1288,프린스,1
1289,루,2
1290,조회,2
1291,영광,2
1292,증거,5
1293,제시,4
1294,프티,3
1295,슈챔찍으심제,1
1296,튕,3
1297,기고,2
1298,메,5
1299,무지,13
1300,랭크,8
1301,행위,9
1302,정의,7
1303,사유,3
1304,정책,2
1305,승부,3
1306,조작,15
1307,경쟁,11
1308,방해,1
1309,부정,6
1310,영구,1
1311,조치,5
1312,사안,2
1313,슈챔권,3
1314,셀,1
1315,유혹,1
1316,패가,9
1317,우연,1
1318,의도,5
1319,처분,1
1320,양심,3
1321,약관,1
1322,규정,1
1323,지적,1
1324,양해,2
1325,자정,2
1326,작용,6
1327,혹,2
1328,욕,41
1329,침묵,2
1330,논란,17
1331,주장,79
1332,근절,1
1333,양하,1
1334,분위기,2
1335,조성하,1
1336,로서,6
1337,클린,4
1338,리가,6
1339,개발,10
1340,업데이트,10
1341,평균,14
1342,그동안,5
1343,보지,4
1344,줄창,1
1345,헛,1
1346,거임,12
1347,기분,10
1348,안듬,1
1349,개발자,7
1350,돈슨,1
1351,개새끼,4
1352,체계,2
1353,엉망,4
1354,과거,4
1355,이벤트,26
1356,페이지,5
1357,당시,11
1358,기억,4
1359,치명,2
1360,수년,3
1361,방치,11
1362,중임,5
1363,비유,1
1364,하자,24
1365,세미프로,7
1366,초보자,1
1367,구조,4
1368,인팟,4
1369,일반,8
1370,솔로,1
1371,학살,1
1372,탈주,2
1373,일정,12
1374,제재,5
1375,가까이,6
1376,대답,1
1377,쇠,2
1378,공감,13
1379,달동,1
1380,개항,1
1381,목,4
1382,개도,1
1383,개중,2
1384,대부분,65
1385,몇개,4
1386,관중,1
1387,프딱,5
1388,쪽,23
1389,랩,1
1390,안쪽,2
1391,부부,4
1392,입문,7
1393,친목,1
1394,뭐임,9
1395,알람,3
1396,가량,1
1397,골차,1
1398,개열,2
1399,입,10
1400,역전,2
1401,매너,10
1402,핑계,7
1403,창낼,1
1404,테섭,9
1405,미련,3
1406,필독,1
1407,성공,4
1408,번만,2
1409,스페이스바,3
1410,타,4
1411,로딩,5
1412,쩜쩜쩜쩜,1
1413,순서,2
1414,스패셜,1
1415,퍼스트,2
1416,투,6
1417,초대,2
1418,자책골,1
1419,인벤,49
1420,구한,1
1421,돌리시,1
1422,불신,1
1423,화이팅,3
1424,마,6
1425,넥필때,1
1426,설문,3
1427,분명,8
1428,징징,25
1429,일낭러,1
1430,수십,2
1431,무방비,1
1432,타오,3
1433,도랏,1
1434,오지,3
1435,꽤,7
1436,마하,1
1437,본격,2
1438,골도,2
1439,막고해,1
1440,재미,25
1441,승은,1
1442,며칠,10
1443,웟,1
1444,도보,1
1445,등수,6
1446,이틀,6
1447,머,13
1448,수치,7
